,College,Location,University,Course Offered,Ownership Type,Phone Number,Email
838,National Open College,"Sanepa, Ring Road ( Near Star Hospital), Lalitpur",Pokhara University,"Bachelor of Business Administration
        (BBA)
 Bachelor of Health Care Management
        (BHCM)
 Bachelor of Public Health
        (BPH)
 Master of Healthcare Management
        (MHCM)
 Post Graduate Diploma in Healthcare Management
        (PGDHCM)",private Institution,,
839,Emerald (Academy) College,"Sagarmatha Chowk, Bhadrapur, Jhapa",National Examinations Board,"Ten Plus Two (+2) Science
        (+2 Science)
 Ten Plus Two (+2) Management
        (+2 Mangement)
 Bachelor of Business Studies
        (BBS)",private Institution,,
840,Zenith International College (Hetauda),"Hetauda, Makwanpur",National Examinations Board,"Bachelor of Business Studies
        (BBS)
 Ten Plus Two (+2) Management
        (+2 Mangement)
 Ten Plus Two (+2) Science
        (+2 Science)",private Institution,,
841,Bright Future College,"Satdobato, Lalitpur",Tribhuvan University,"Bachelor of Business Studies
        (BBS)
 Bachelor of Education
        (BEd)",private Institution,,
842,Sarovar College,"Kalanki, Kathmandu",Tribhuvan University,"Bachelor of Arts
        (BA)
 Bachelor of Business Studies
        (BBS)
 Bachelor of Arts in Social Work
        (BASW)",private Institution,,
843,Newton International College,"Jorpati, Gokarneshwar, Kathmandu",Tribhuvan University,"Bachelor of Business Studies
        (BBS)
 Bachelor of Arts
        (BA)
 Bachelor of Arts in Social Work
        (BASW)",private Institution,,
844,NIST College Banepa,"Banepa-4, Karunamarg, Kavre, Banepa, Kavrepalanchok",Tribhuvan University,"BSc Computer Science and Information Technology
        (BSc CSIT)
 Bachelor of Science (General)
        (BSc)
 Bachelor of Computer Application
        (BCA)
 Bachelor of Information Management
        (BIM)",private Institution,,
845,NIST College Banepa,"Banepa-4, Karunamarg, Kavre, Banepa, Kavrepalanchok",Tribhuvan University,"BSc Computer Science and Information Technology
        (BSc CSIT)
 Bachelor of Science (General)
        (BSc)
 Bachelor of Computer Application
        (BCA)
 Bachelor of Information Management
        (BIM)",private Institution,,
846,Siddhartha International College,"Kalikanagar, Butwal, Rupandehi",Pokhara University,"BBA in Banking and Insurance
        (BBA-BI)
 Bachelor of Business Administration
        (BBA)",private Institution,,
847,Siddhartha International College,"Kalikanagar, Butwal, Rupandehi",Pokhara University,"BBA in Banking and Insurance
        (BBA-BI)
 Bachelor of Business Administration
        (BBA)",private Institution,,
848,Shreeyantra College,"Damak, Jhapa",Tribhuvan University,"BSc Computer Science and Information Technology
        (BSc CSIT)
 Bachelor of Information Management
        (BIM)",private Institution,,
849,Pokhara Multimodal Campus,"Srijana Chowk, Pokhara, Pokhara Lekhnath, Kaski",National Examinations Board,"Bachelor of Business Studies
        (BBS)
 Ten Plus Two (+2) Science
        (+2 Science)
 Ten Plus Two (+2) Management
        (+2 Mangement)",private Institution,,
850,Orient College,"Basundhara, Tokha, Kathmandu",National Examinations Board,"Bachelor of Business Studies
        (BBS)
 Bachelor of Arts in Social Work
        (BASW)
 Ten Plus Two (+2) Science
        (+2 Science)
 Ten Plus Two (+2) Management
        (+2 Mangement)",private Institution,,
851,Om College,"Santapur, Chandrapur, Rautahat",Tribhuvan University,"Bachelor of Arts
        (BA)
 Bachelor of Business Studies
        (BBS)
 Bachelor of Education
        (BEd)",private Institution,,
852,Bangad Campus,"Bangad, Bangad Kupinde, Salyan",Tribhuvan University,"Bachelor of Education
        (BEd)",private Institution,,
853,Bangad Campus,"Bangad, Bangad Kupinde, Salyan",Tribhuvan University,"Bachelor of Education
        (BEd)",private Institution,,
854,Annapurna Multiple Campus,"Kanchanrup, Saptari",Purbanchal University,"Bachelor of Commerce Studies
        (BCS)",private Institution,,
855,Western Mega College,"Sukhanagar, Butwal, Rupandehi",Lincoln University College,"Master of Business Administration
        (MBA)
 BSc Hons. in Hospitality Management
        (BHM)",private Institution,,
856,Mega National College,"Kumaripati, Lalitpur",Tribhuvan University,"Bachelor of Business Studies
        (BBS)
 Master of Business Studies
        (MBS)
 CAP - I
 Bachelor of Computer Application
        (BCA)
 Bachelor of Business Management
        (BBM)",private Institution,,
857,Dikshanta College,"Sukedhara, Budhanilakantha, Kathmandu",Tribhuvan University,"Bachelor of Business Studies
        (BBS)
 Bachelor of Arts in Social Work
        (BASW)
 Bachelor of Arts
        (BA)",private Institution,,
858,Gokuleshwor Agriculture and Animal Science College,"Dilasaini, Baitadi",Tribhuvan University,BSc Agriculture,private Institution,,
859,Novel Academy,"New road, Pokhara, Pokhara Lekhnath, Kaski",Purbanchal University,"GCE A-Level Non-Science
        (A-Level Non-Science)
 GCE A-level Science
        (A-Level Science)
 Bachelor of Business Administration
        (BBA)
 Master of Business Administration
        (MBA)
 Bachelor of Pharmacy
        (B Pharm)",private Institution,,
860,Dharan City College,"Dharan, Sunsari",Tribhuvan University,"Bachelor of Business Studies
        (BBS)",private Institution,,
861,Sagarmatha College for Higher Studies,"Dillibazar, Kathmandu",Tribhuvan University,"Bachelor of Arts
        (BA)
 Bachelor of Business Studies
        (BBS)
 Bachelor of Arts in Social Work
        (BASW)
 Bachelor of Computer Application
        (BCA)
 Bachelor of Business Management
        (BBM)",private Institution,,
862,Sagarmatha College for Higher Studies,"Dillibazar, Kathmandu",Tribhuvan University,"Bachelor of Arts
        (BA)
 Bachelor of Business Studies
        (BBS)
 Bachelor of Arts in Social Work
        (BASW)
 Bachelor of Computer Application
        (BCA)
 Bachelor of Business Management
        (BBM)",private Institution,,
863,City College Janakpur,"Janakpur Dham, Janakpur, Dhanusha",Tribhuvan University,"Bachelor of Business Studies
        (BBS)",private Institution,,
864,Koshi Saint James College,"Itahari-8, Itahari, Sunsari",Tribhuvan University,"Bachelor of Education
        (BEd)
 Bachelor of Business Studies
        (BBS)
 Bachelor of Computer Application
        (BCA)",private Institution,,
865,New Life College,"Makar -4,Bardaghat, Makar, Parasi",Tribhuvan University,"Bachelor of Business Studies
        (BBS)",private Institution,,
866,Siddhartha   International College,"Kabi Shiromani Tole, Birgunj, Parsa",Tribhuvan University,"Bachelor of Business Studies
        (BBS)
 Bachelor of Education
        (BEd)",private Institution,,
867,Everest Multiple College-Thamel,"Galkopakha, Thamel, Kathmandu",Tribhuvan University,"Bachelor of Business Studies
        (BBS)",private Institution,,
868,Infomax College of Information Technology and Management,"Ranipauwa, Phulivari Marg-11, Ranipauwa, Pokhara Lekhnath, Kaski",Asia Pacific University of Technology & Innovation,"Master of Business Administration
        (MBA)
 BSc (Hons) in Information Technology
        (BSc IT)",private Institution,,
869,Dynamic Multiple College,"Kohalpur, Banke",Tribhuvan University,"Bachelor of Education
        (BEd)",private Institution,,
870,"Charak Academy, Pokhara","Pokhara, Pokhara Lekhnath, Kaski",Council for Technical Education and Vocational Training,"Post Basic Bachelor in Nursing
        (BNS)
 PCL Nursing
 BSc Nursing",private Institution,,
871,International Center for Academics,"Gyaneshwar, Kathmandu",Indira Gandhi National Open University,"Bachelor’s Degree Programme in Commerce
        (B.Com)
 MA in English
        (MEG)
 Masters in Tourism Management
        (MTM)
 Masters in Computer Application
        (MCA)
 Bachelor of Arts
        (BA)
 Bachelor in Computer Applications
        (BCA)
 Bachelor’s Preparatory Programme
        (BPP)
 Bachelor of Arts in Tourism Studies
        (BTS)
 Master of Business Administration
        (MBA)",private Institution,,
872,College of Management,"Nepalgunj, Banke",Tribhuvan University,"Bachelor of Business Studies
        (BBS)",private Institution,,
873,"National Multiple College, Dharan","Dharan, Sunsari",Purbanchal University,"Bachelor of Education
        (BEd)
 Bachelor of Business Studies
        (BBS)",private Institution,,
874,Banke Education Campus,"Nepalgunj, Banke",Tribhuvan University,"Bachelor of Education
        (BEd)",private Institution,,
875,Prithu Technical College,"Lamahi Municipality Ward -3, Bangaun, Lamahi, Dang",Tribhuvan University,BSc Agriculture,private Institution,,
876,Global Village College,"Lagankhel, Lalitpur",Tribhuvan University,"Bachelor of Business Studies
        (BBS)
 Bachelor of Arts
        (BA)",private Institution,,
877,New Bageshwari Academy College,"Kohalpur, Banke",Tribhuvan University,"Bachelor of Business Studies
        (BBS)
 Bachelor of Education
        (BEd)",private Institution,,
878,GS College,"Kalimati, Kathmandu",National Examinations Board,"Ten Plus Two (+2) Science
        (+2 Science)
 Ten Plus Two (+2) Management
        (+2 Mangement)
 Ten Plus Two (+2) Humanities
        (+2 Humanities)
 Bachelor of Business Studies
        (BBS)",private Institution,,
879,Modern Kanya Multiple College,"Bhinsengola, Baneshwor, Kathmandu",National Examinations Board,"Ten Plus Two (+2) Management
        (+2 Mangement)
 Ten Plus Two (+2) Humanities
        (+2 Humanities)
 Bachelor of Business Studies
        (BBS)
 Bachelor of Arts
        (BA)",private Institution,,
880,Royal Softech College,Siraha,Purbanchal University,"Bachelor of Commerce Studies
        (BCS)",private Institution,,
881,Alka Institute of Medical Sciences,"Hattiban, Lalitpur",Council for Technical Education and Vocational Training,"Post Basic Bachelor in Nursing
        (BNS)
 PCL in General Medicine-Health Assistant
        (HA)
 Certificate in Medical Laboratory Technology
        (CMLT)",private Institution,,
882,Seabird International College,"Madhyapur Thimi, Madhyapur Thimi, Bhaktapur",Tribhuvan University,"Bachelor of Business Studies
        (BBS)",private Institution,,
883,Public Youth Campus Janakpur,"Janakpur, Dhanusha",Tribhuvan University,"Bachelor of Business Studies
        (BBS)
 Bachelor of Computer Application
        (BCA)",private Institution,,
884,Birat Model College,"Biratnagar, Morang",Tribhuvan University,"Bachelor of Business Studies
        (BBS)
 Bachelor of Education
        (BEd)",private Institution,,
885,Norvic Institute of Nursing Education,"Maharajgunj, Kathmandu",Purbanchal University,"Post Basic Bachelor in Nursing
        (BNS)
 BSc Nursing",private Institution,,
886,Norvic Institute of Nursing Education,"Maharajgunj, Kathmandu",Purbanchal University,"Post Basic Bachelor in Nursing
        (BNS)
 BSc Nursing",private Institution,,
887,Asian International College,"Kirtipur, Kirtipur, Kathmandu",,"Bachelor of Business Studies
        (BBS)",private Institution,,
888,JF Institute of Health Sciences,"Balaju, Kathmandu",Tribhuvan University,"BSc Nursing
 Bachelor of Pharmacy
        (B Pharm)
 Bachelor of Nursing Science
        (BNS)
 Bachelor in Medical Laboratory Technology
        (BMLT)",private Institution,,
889,Padma College,"Durbar Square, Bhaktapur",National Examinations Board,"Bachelor of Business Studies
        (BBS)
 Bachelor of Education
        (BEd)
 Master of Business Studies
        (MBS)
 Ten Plus Two (+2) Humanities
        (+2 Humanities)
 Ten Plus Two (+2) Management
        (+2 Mangement)
 Ten Plus Two (+2) Science
        (+2 Science)",private Institution,,
890,Chakrabarti Habi Educational Academy (College of Law),"Bijulibazar, Kathmandu",Purbanchal University,"Bachelor of Arts
 Bachelor of Laws
        (BALLB)
 Master of Laws
        (LLM)",private Institution,,
891,Chakrabarti Habi Educational Academy (College of Law),"Bijulibazar, Kathmandu",Purbanchal University,"Bachelor of Arts
 Bachelor of Laws
        (BALLB)
 Master of Laws
        (LLM)",private Institution,,
892,Biratnagar City College,"Biratnagar, Morang",Tribhuvan University,"Bachelor of Business Studies
        (BBS)
 Bachelor of Education
        (BEd)",private Institution,,
893,World Vision Modern Campus,"Rajbiraj, Saptari",Tribhuvan University,"Bachelor of Education
        (BEd)",private Institution,,
894,Jhapa Campus,"Damak, Jhapa",Tribhuvan University,"Bachelor of Business Studies
        (BBS)",private Institution,,
895,Chakrabarti Habi Education Academy (College of Allied Health Science),"Madhyapur Thimi, Madhyapur Thimi, Bhaktapur",Purbanchal University,"Bachelor of Public Health
        (BPH)",private Institution,,
896,Innovative College of Health Science,"Siphal, Kathmandu",Purbanchal University,"Post Basic Bachelor in Nursing
        (BNS)",private Institution,,
897,Edenburgh College,"Biratnagar, Morang",Tribhuvan University,"Bachelor of Business Studies
        (BBS)
 Bachelor of Education
        (BEd)",private Institution,,
898,Edenburgh College,"Biratnagar, Morang",Tribhuvan University,"Bachelor of Business Studies
        (BBS)
 Bachelor of Education
        (BEd)",private Institution,,
899,Rajbiraj Model Campus,"Rajbiraj, Saptari",Tribhuvan University,"Bachelor of Business Studies
        (BBS)
 Bachelor of Education
        (BEd)",private Institution,,
900,Quest Model College,"Ratna Nagar, Ratnanagar, Chitwan",Tribhuvan University,"Bachelor of Business Studies
        (BBS)",private Institution,,
901,Brightland College,"Surkhet Road, Nepalgunj, Banke",Tribhuvan University,"Bachelor of Business Studies
        (BBS)
 Bachelor of Arts in Social Work
        (BASW)
 Master of Business Studies
        (MBS)
 Bachelor of Hotel Management
        (BHM)
 Bachelor of Information Management
        (BIM)",private Institution,,
902,Achievers College,"Shankarnagar-9, Janakinagar, Shankarnagar, Butwal, Rupandehi",Tribhuvan University,"Bachelor of Business Studies
        (BBS)
 Ten Plus Two (+2) Management
        (+2 Mangement)",private Institution,,
903,AIMS College,"Butwal-11, Butwal, Rupandehi",National Examinations Board,"Ten Plus Two (+2) Management
        (+2 Mangement)
 Bachelor of Business Studies
        (BBS)",private Institution,,
904,Vedas College,"Jawalakhel, Lalitpur",National Examinations Board,"BSc Computer Science and Information Technology
        (BSc CSIT)
 Ten Plus Two (+2) Humanities
        (+2 Humanities)
 Ten Plus Two (+2) Management
        (+2 Mangement)
 Ten Plus Two (+2) Science
        (+2 Science)
 Bachelor of Business Studies
        (BBS)
 Master of Business Studies
        (MBS)
 Bachelor of Computer Application
        (BCA)
 Bachelor of Business Management
        (BBM)",private Institution,,
905,Sky International College,"Milanchowk, Butwal, Tillotama, Rupandehi",Asia Pacific University of Technology & Innovation,"Master of Business Administration
        (MBA)
 MSc in Information Technology
        (MSc IT)",private Institution,,
906,Banepa Siddhartha College,"Banepa-5, Banepa, Kavrepalanchok",Tribhuvan University,"Bachelor of Business Studies
        (BBS)",private Institution,,
907,New Millennium College of Education,"Devichaur, Janakpur, Dhanusha",Tribhuvan University,"Bachelor of Business Studies
        (BBS)
 Bachelor of Education
        (BEd)",private Institution,,
